tweets,class
Talked #Suicidality at @NSFTtweets Board meeting Thur &amp; find this in my garden today http://t.co/TZuHiZNh7c #irony http://t.co/K5w154ONcz,irony
It's rained more this weekend in the #Cotswolds than it has in 6 months in #Edinburgh but has still been the best weekend in a while! #irony,irony
"Will fight corruption but ensure cadre deployment, seems to be the pot calling the kettle black #irony  https://t.co/RQcytyxsYg",irony
@60Mins use the hashtag #irony to join our online conversation about people using the internet too much in their life,irony
"#History - 
Leader Ghandi g was murdered by NathuRam Godsay (Holding Gun in Pic) for supporting Pakistan #Irony http://t.co/wgafH6ngAP",irony
#Feds #watch even more ima #rapstar 👀 see da #irony 😏 smh ...... #new #batenatehussein WESTLONDON… https://t.co/3iLU1kXjay,irony
Not a single terrorist is punished by these courts in last 15 years #Irony #CourtsForSale http://t.co/E0iDR8HvAE,irony
"JEB &amp; HILLARY VS AMERICAN VOTERS

#IRONY 

#OhHillNo
#NoJeb

#WakeUpAmerica http://t.co/XWG8BTaCmY",irony
"andrew bolt found one his own kind!!! 
hahahahaha bolt calls trump an idiot.
#facepalm
#irony
#auspol  https://t.co/ulDqnx6h99",irony
... it must be so unfair because nobody else is supposed to buy the title 😂😂😂 #irony https://t.co/sg1k0MI094,irony
Cole Hamels throws a no hitter against the @Cubs... and next week he could be pitching for the @Cubs #Ironic,irony
Fighting corruption along with Vishwajit Rane is like fighting for peace along with George Bush. #irony https://t.co/GSw2fGORAE,irony
"Many twters abusing Joe DeBruyn for sticking to his principles and 
want 2 claim high ground when comparing LNP to facists. #Irony #Auspol",irony
"The #irony being that, after working in p/t low paid jobs to single-handedly raise my #FemaleChild, enduring #WorkingClassMaleDomination...",irony
“@BeingSalmanKhan: 1 innocent man killed is killing the humanity” Irony will never recover from this gigantic hit. #Irony,irony
"So is it just me or does ""charged up"" sound like he wasn't charged up?  #Irony #Of #It 
I'm wonderin wtf is goin on...#WellSee",irony
"@ESPNFC the pot is so guilty of calling the kettle black, Chelsea have made it their new captain! #irony",irony
How long before Mourinho accuses rivals of having no interest in playing football and just parking the bus? #irony #cfc #mufc,irony
#Apple being bullish in China on iPhone sales. While they totally neglected English aware #India #ironic,irony
When the anti corruption crusader campaigns for a man convicted for corruption...the #Irony commits suicide !! #ThugKejri,irony
"The week ""Inexpert boy"" #watercolour #art #irony #arte #ironía #illustration #drawing  ""Chico Inexperto""  #acuarela  http://t.co/zxKR4jwhss",irony
Annoying when the towels you've kept nice and white turns into a dingy white/grey in one evening. #irony #laundrydisaster #annoyed #sigh,irony
"@TheFullCharge From the dark Ive to say You &amp; @ChristinaP got close, asymptoting 2 #Truth, but #Hilarious utterly w/o #irony #ThatsDeepBro",irony
My 4 year old @joshuanmillar was lying in bed singing Wake by @hillsongyandf before 6:30 this morning. #ironic,irony
"@PetrieHoskenLBC if one of your male colleagues had said that you would be outraged and exasperated, huffing and puffing in disgust. #Irony",irony
Did #Mourinho seriously accuse title contenders of attempting to #buytheleague after submitting £20m bid for #squadplayer #irony,irony
"The week. ""Dirty Old Man"" #watercolour #irony #art #decoration 
""Viejo verde"" #acuarela #ironia #arte #decoracion
 http://t.co/wa1hbeRk5W",irony
"#irony at its peak: Robin Williams movies taking me out of depression, he passing away because of depression.",irony
"@ExcitableExpert @ebZan1 @addyafc @SerialWUM @lgunner1982 says the guy with the Emirates as his avi and ""the home of football"" #irony",irony
its irony of our country that Yakub menon is more discussed than captain Vikram Batra on Kargil day #irony,irony
"News today;
Alan Kelly orders review of Bord Plenala. 
Alan Kelly flouts rules, to give grants to his own constituency. 
#irony",irony
"@RonnieFieg your boys at concepts fucked everyone over yesterday, while deon was dissing you he was allowing marv soles run the list #irony",irony
McGreevey running a jail re-entry program despite fact he's the one who should have served time. #Ironic  https://t.co/zuZvBs845V,irony
So proud that @pablohernandez7 is dating a bareback star @DraeAxtellXXX !! Though I don't get the Madonna Parody video Pablo was on #Irony,irony
@timsylviamma wow eloquence...fucking dumb fuck?  and you meant NOW and it's LOSER...1 o buddy....#spellcheck #grammar #irony #dumbass,irony
@HilaryK777 True. All hail eternal power of the dollar. Enough to make my Chicago-born Dad move here just so he could vote @uklabour #irony,irony
"BJP Leaders Doing Action Scenes in Front of Salman's House.Salman is Helping Farmers with a Profit from #BB 
#IRONY  
#SalmanStandsClear",irony
"@SkyFootball @SkySports BUY?
Did he just slide off his chair, flat as a freshly pressed silksheet as soon as the word left his mouth?
#Irony",irony
Watch out! Da shark is behind you!!!!! #fish #water #aquarium #shark #funny #ironic https://t.co/Sx8vVwFzsh,irony
"A person who can't stand by his opinion even for a day, under pressure, is treated as a super hero! #Irony",irony
Giving blood and what song is playing....Bad blood @taylorswift13  #giveblood #VMAs2015 #ironic #badbloodshouldwinvideooftheyear,irony
This is in Mogadishu &amp; some Kenyans do not want to work in NEP? #Irony  @sossionsgKNUT @AlexChamwada  https://t.co/ESXymWnc9X,irony
Mourinho accuses Premier League rivals of 'buying' the title  http://t.co/sVyjRJtTZq via @MailSport LOL #Chelski #Moaninho #Campaign #Irony,irony
My glasses broke in the beginning of the week. And now my phone broke. It's like everything I have is slowing breaking. #ironic,irony
"“@piesportsbooze: Mourinho: ""Chelsea's rivals are trying to buy the league."" http://t.co/oX5PI1lhss” #ironic",irony
#Ironic this profile cant be more wrong no #feminist would go around stealing another womens husband knowing they have a child #homewrecker,irony
That moment a crank linked my refutation of the Bill Gates-vaccine-depopulation conspiracy theory thinking its real. #oh #the #irony,irony
@VonSchiehallion @GringoJnr @VirginTrains 1S37 37 late into GLC. Fare dodger gets a refund. #Irony #PlayAlongBanter,irony
@ConnorCelentano Father Tom spoke about throwing a party and having too many people to tend to :///// #irony,irony
"Sewel, responsible for upholding standards and conduct resigns after 'snorting cocaine with prostitutes'  #ironic http://t.co/uBzLBoxZjv",irony
"Some 30 plus years ago,Ethiopians were on Mesqel Square to welcome @reflexionfidel now they are welcoming @POTUS @BarackObama #Irony",irony
At the Porthcurno Telegraph Museum  @ThePTM &amp; there's no mobile signal at all. #Ironic #AreyoulisteningAlanisette,irony
"As a feminist, disappointed @dorothyofisrael for being just as #dismissive #racist #angry as she accuses trolls of being. #irony #hypocrisy",irony
Picked up prepackaged supplies at the store for local school supply drive. #irony ? I can't find everything on my son's list. #backtoschool,irony
"The #Irony about Today Win In #HungarianGP is #Vettel Winning with #Ferrari With #RedBulls On Both Side!!

#Karma I Guess!! 😂😂😂😂",irony
#Bionic #Ironic #Iconic 💋💋💋 @shannonholtz set to perform with miss @xtina once again on #CiscoRocks #SantaClara http://t.co/mQXwmNafvL,irony
My love of #irony jibes perfectly with a 44th bday run on a day calling for #thunderstorms ... on… https://t.co/3mCqJuGFQi,irony
"Hmmm I find it interesting that you say things like ""do what makes you Holy"" however your actions are nothing of the sort.. #ironic",irony
Funny how the info is always correct when the town crier is spreading it yet never correct when you hear info about the town crier #ironic,irony
NJ has 1 of best public education systems in U.S. &amp; 1 of worst pension systems. Pol's-not tchrs-caused problem but we r blamed. #Irony,irony
Ironic thought: hacking a dart as you step out of the front door of the gym...a little counter productive don't you think? #ironic,irony
"Another funny thing from today: took my friend's pic with 1D, &amp; the iPhone did the yellow box around everyone's face except Zayn's! #irony",irony
Ironic timing watching this for the first time considering the recent news. #ironic #ironictiming… https://t.co/qhFqS6z4aX,irony
Art and gaming!!! #game #gamer #gaming #gamergirl #art #painting #ign #irony #chewlo #home #homedecor… https://t.co/lEJ1JmGnEb,irony
I cannot #access @fbaccess to report my issues #irony #unacceptable #Facebook #a11y  https://t.co/zlZW2ccWTU,irony
"Took a few days for it to dawn on me, but I kid you not...it really is called that. Six Corners, officially. #irony http://t.co/hdXjPYTpWs",irony
Doing back-to-school #shopping and Been Caught Stealing is playing in the store. #irony #janesaddiction,irony
If you've got a spare half a million @courtneymelba #xpnfest #irony @XPNfest @wxpnfm http://t.co/FHyoR9XHU1,irony
"@TransSkiBunny @TheButteryOne Honey, #IRONY is two #Scotsmen #Cloning a #Sheep. Please Learn #English and #ProperUse of your supposed #Lingo",irony
#Irony so i'm doing my #Trailhead lesson decide to enable social contacts on myself find a DUPLICATE of my twitter profile #WTF @salesforce,irony
"Drove past a fine Black man in a shirt that said ""Feminist"". I wanted to holla at him, but realized that was street harrassment. #irony",irony
"I don't usually listen to the Minister of Electricity speeches on Al-Nabaa, but when I do, the electricity cuts off! #Irony #Tripoli #Libya",irony
"I have a friend who is a professional psychic. 
She doesn't have a clue that I think she's a total fake. 
#irony",irony
Video: Ironic timing watching this for the first time considering the recent news. #ironic #ironictiming... http://t.co/0K63HtrDwr,irony
#FoxNews #Check Out the #Ironic #Reason Why #Sheriff Joe #Arpaio_s #Office Was #Raided By… http://t.co/DjR7Z6mEzF http://t.co/Q59r9gqi7O,irony
"She wouldn't give up on the house, draw a line and start again. But she gave up on me easily enough. #irony",irony
@jessmayward1 @thebodycoach might use the hundreds of takeaway boxes I've munched my way through over the years! #irony #90daysSSSPlan,irony
"Apple wants developers to prepare for ipv6 in iOS 9, but the only thing that Apple seems to have made ipv6 ready is their own website #irony",irony
@TheMalia @christofurlopez @JetpackAmerica @ssparksnj or a dark skinned hitler #lol #toosoon? I thought #ironic,irony
"@MichaelSHolley @DaleEArnold @jerrythornton1 The Pats have been getting away with murder, but the one murderer is behind bars 4 life #irony",irony
The giant tusks have been there many  decades (since I recall). Ivory shipped on dhows 2 Arabia India etc. #Ironic https://t.co/qvBSdG8b9A,irony
@JaxMatthews my wish list is huge and I dont have time to read the ones on my kindle #ironic #livingthebook (so to speak),irony
"Did I just see Al Sharpton doing a ""The More You Know..."" commercial about celebrating differences?

#Irony",irony
"@CCTV_English points out that @POTUS will be addressing @_AfricanUnion in its Chinese funded, Chinese built HQ #irony #ObamaInEthiopia",irony
The #bankinginquiry is turning out to be an expensive 'lesson' in how to squander a countries economy #irony,irony
Max &amp; relax #Southampton #sundaze #irony #atitsfinest #poolparty #lawn #nyc #guinnessblonde… https://t.co/0sHPAFHehN,irony
#FoxNews #Check Out the #Ironic #Reason Why #Sheriff Joe #Arpaio_s #Office Was #Raided By… http://t.co/FGnuNb9KBg http://t.co/xbKuZ9CqM0,irony
"Got kicked out of seat @hillsongnyc bc it was ""reserved"" despite 0 signs saying so. It was however, right below the Welcome Home sign #irony",irony
Running on fumes.  Can't even do the math on how many hours I've been on the go...not that I can on a normal day. #irony,irony
This is where we were staying this weekend. No #irony at all! #brandonfolkfest #DiggingRootsTour… https://t.co/yq8YTOp0zF,irony
William Morris design still creates impact.  These at Cragside a technological beacon #irony http://t.co/V6yHfBN2jR,irony
"Computer science lecture held up because the lecturer is having some computer problems, they had to call IT #irony #feelingconfident",irony
@Section_O @rjmackinnon @GrahamMosimann that's a myth the wheatards have spread for 20 years. No telethon needed here. #irony #hypocrites,irony
@jaypeewyoming @realDonaldTrump @sandrapatriot @stephenfhayes  #IRONIC &amp; #HYOCRITICAL though : Trump's Macy's Ties are assembled in #CHINA !,irony
Indians are expecting fair news from some  media .. Which uses the pictures and captions by others as their own #Irony,irony
Overweight people selling a magical product that supposedly makes you loose a pound per day #BitchPlease #IasoTea #Irony,irony
"The Mexican national soccer team can make a better wall than the Mexican government can make :) 

#irony #CONCACAFGoldCup",irony
Tonight my best friend since kindergarten got engaged to the boy we tormented in kindergarten. #irony,irony
"@barenakedladies Why can I only buy it in Us, Euros or pounds but not in Canadian currency ?? #ironic #canadianband?? #unfair",irony
@thdudelebovvski funny how a guy who's fine with depicting acts violence on the silver screen is uncomfortable with simple nudity. #irony,irony
People who spend 8+ hours on Twitter daily probably shouldn't make reference to having a family they care deeply for in profiles. #Irony,irony
The problem with politics is a lack of consciences. Conscience votes never cease to make me laugh bitterly. #irony https://t.co/MNU4HhmgPo,irony
Funny how the ones who are actually sinning like to project and make it seem as though other people are the problem... #irony,irony
Lab rats... Funny how while we use animals as test subjects... The same thing is occurring to us... #irony,irony
@IrinaGreenVoice @AJEnglish @Seasaver These Africans dnt understand tht they r destroying their own treasure. #Ironic #Greed,irony
@MeekMill before you drop yo diss can u please use drake energy beat and tear his ass up #irony #niggawasntchargedupenough,irony
@javedmansari Funny how @mahrukhinayet jumps n RTs anything that has Hindu or BJP angle n shows them in bad light.n she was an anchor #irony,irony
"So I'm at karaoke listening to someone slay ""I Have Nothing"" as my cousin tells me Bobbi Kristina passed.. 😕😞 #ironic #iWasntReady #RIP",irony
Listening to Californians talk smack about other locales earthquake risk #Irony #YouHaveGotToBeKiddingMe,irony
"@Bayou_bella @ATXGirly @leannrimes @1mom2Vgirls the funny thing is, a comeback is possible if she would take our advice! #irony",irony
"Hey UFC, Bring Back Bare-knuckle Fights to Stop Brain Trauma http://t.co/eeXWPJeJPt via @thedailybeast #irony",irony
“Planning is guessing.” // I’ve not read the article yet; but the tagline offered me a new POV #Irony #GodsObjective http://t.co/jQzYJvvJbs,irony
"Time to officially countdown! 

7 more days until #WonderGirls comeback! #Reboot #Irony http://t.co/pUnhEjQ9Ka",irony
@SarahVine- hospital staff should work round the clock to provide for people like her husband. That'll be M Gove who's on 7 week hols #irony,irony
"@MACcosmetics #ironic ¿Dont you Think? #PlayaDelCarmen ¿Oportunity? 
Maybe.. 
Maybe you can change your and my world. http://t.co/6GsZJvWG6T",irony
"My girls &lt;333 ""@/WonderFacts: Time to officially countdown! 7 more days until #WonderGirls comeback! #Reboot #Irony http://t.co/CeNRhr3DJs""",irony
"@JustinRust Actually, the players share equal blame, too. None of the non-users had the balls to ""out"" the users. Until Canseco. #Irony",irony
"Asked meat counter man the difference between pork roast and tenderloin.
Actual answer: ""Idk. I'm not much of a meat guy."" #irony",irony
From #TeamEVIL @MartianColonist &amp; @Fenrire! Wow!! #ironic this is about to be good!! #NerdArmy #KingOfTheNerds,irony
"I find it ironic how boys say they're scared of hurting someone in a relationship,so they stick to sexing different girls.  #ironic",irony
People signing petition to save Yakub are the same people who post condemning message whenever such act of terror happens #irony #HangYakub,irony
"At the @rogerscentre as a @rogers cellular customer, and having issues getting on the network. #irony",irony
IT ENDS UP THAT WAY SOMETIMES...  MY #IRONIC LYFE! #LIVELOVELAUGH  IM IN MY WORLD #NEWLIFE #NEWSTART… https://t.co/X15sOeI3Vz,irony
Mourinho accusing United and Liverpool of trying to buy the title! Short term memory is it? #fb #irony,irony
Hers and his fortune cookies #irony #needALoanToMakeUrPartnerHappy by thanhsguitar http://t.co/4yYdH5RAw7,irony
"...who did this? 😂 #Irony #BruceJenner #CaitlynJenner @ Miracle Mile Shops, Las Vegas https://t.co/TujlzNfQXz",irony
So the #PartyOfLicoln is calling for guns in theatres now? Did I hear that correctly? #irony #OutOfTouch #tcot #crossfire #guncontrol,irony
"@sexenheimer just saw a punk too. Possibly the same one.Who knows, what with all the patches and studs it's hard to tell them apart #irony",irony
"It's funny how life works...always looking for a dinner date, and today I missed the opportunity to be taken to dinner. #irony #mylife",irony
@jackwulfric i thought she was the biggest star in the world... too bad.. #despo @taylorswift13 truth is u were going to loose to bey #irony,irony
Worlds Cheapest Flights: http://t.co/7GLAWdIdu1 #travel #dublin #2015#shop #wildshopping #shopping #irony #madness http://t.co/LLAnHWpbA8,irony
LinkedIn notifies me that one of my thesis examiners has been looking at my profile. I wrote my thesis about surveillance. #micdrop #irony,irony
"#Twitter using Copyright Law to bust joke thieves
- now that is a #laugh!
http://t.co/3ovr07DCtj
#socialmedia #irony http://t.co/tB5LLChnUi",irony
"I nearly got side swiped by a guy with a ""share the road"" bumper sticker. Then he started yelling at me like it was my fault. #Irony",irony
"Porkistan Assholes are Trending 
#GurdaspurAwakesKhalistan ,while they kill Minority pak sikhs ! #irony http://t.co/5W5EzHCg0z",irony
The Soft Bigotry of San Francisco expectations:  #business #minimumwage #fightfor15 #tcot #P2 #irony #seattle #sf http://t.co/0t8VjXJiTg,irony
@bethanjenkins Ahhh... when you need a urine throwing Frenchman there's just not one about! #onlyjoking #irony #menonbikes,irony
For the First Time the House of Lords Now Has the Power to Expel Members Permanently http://t.co/41vq1Bie8e via @HuffPostUKPol #irony,irony
Was praising my #iPhone this morning and it just got done with a little freak out and shit down... #irony,irony
"@amespeace Same feeling, It's pouring down outside and I'm in the lab using drying agents #Ironic #Cosy",irony
"Vice Prez @VP calls LaGuardia ""A 3rd World Country Airport"" while @POTUS visits a 3rd World Country... #Kenya  #ironic",irony
I agree! Teach people how to fish! #CCT anyone! Here's some more fish in your mouth c/o our #taxes #irony #SONA2015,irony
Top 10 tips for doing #business in the #USA. Biggest tip? Americans don't get #irony  http://t.co/7gsyaoJVNN http://t.co/5F42pl6l6V,irony
Alanis Morissette 's 'Ironic' isn't actually ironic at all. How ironic is that? #irony #snap #purposeful? #yougogirl,irony
@emmablackery was gonna be a produtive muffin but ended up acting like a donut and almost breaking my hand...while working as a baker #irony,irony
@wolmarforlondon almost run over by Highway Maintenance Lorry; but I suppose they DO own the roads... #truth #irony,irony
Made my debut on CNBC.....as a ski instructor @MattCNBC #ironic #asiasquawkbox @ Perisher https://t.co/vZ0XPefqsq,irony
"No Big leader tried to prevent Hanging of the Bhagat Singh , .  but few Psychos pouring their heart out for Yakub . #Irony @Nitin_Rivaldo",irony
@RichardDawkins @SamHarrisOrg  Oops! it was the religious that shaped our society today #ironic  https://t.co/PYbgjSvTjC,irony
"Can @Drake drop a track without the fucking children making a line from it into a phrase and ruining it, please? #ImChargedUp #irony",irony
I think it's funny that during my week off  I'm getting calls to fill in for nurses that want a day off #irony #nursingproblems #nothankyou,irony
"Water catchment system?!  It still floods everywhere!  Most especially in the area where you installed it.
#irony
#SONA2015",irony
"MQM outside White House. For a decade, US asked Pak to take action agst terrorists and now they them self will stop us from doing do? #Irony",irony
I forgot it was spirit day today... Supposed to wear red and I show up in this. #ironic #allblack… https://t.co/WCoX9yfU34,irony
I love your reply to being pompous and grandiose is to compare yourself to #Churchill #irony @PoliticoVoice @MirrorPolitics @DailyMirror,irony
Work survey on new 'SMART WORKING' office. The fucking SHIT CONNECTIVITY HERE crashed my survey &amp; lost my answers. #irony #mondayanger,irony
Hi Mr. President. Let me remind you that you yourself is a product of a DYNASTY. #AntiDynastyLaw #SONA2015 #SONA #ironic,irony
"Tree-hugger cyclist worried about environment.....burns down 73 acres of forest.
https://t.co/i0A9G0Qj50
#irony",irony
"Kids will never grow up, Laro laro, #PTI ka Bahut Bhala ho raha hai, This is what you all learn from Khan #Irony",irony
"Greenwald references ""the limits of one’s ability to understand complicated situations about which one has no first-hand knowledge"" #irony",irony
@TERIMAAKIJACK I agree :-) Also if that wasn't enuf true white skinned individuals are marketed a very tanned look! #irony Us humans!,irony
"@Ahsanwarsi2 @WasayJalil #IRONY a Pakistani political party protesting outside White House, against political victimization in Pakistan LOL",irony
The #irony of the Great #Depression / L'#ironie de la Grande #Crise. @LIFE #1937 #injustice #capitalism #capitalisme http://t.co/AwXP5zrSpk,irony
Have you mentioned that Martin Lewis has made a fortune from his “Money saving” advice? @bbc5live #irony,irony
I always chuckle when I wear this to work being I'm a #sleeptech #wakemewhentheboringstops #scrubs #ironic #funny 😁😁😁 http://t.co/HRpsL2Gb0F,irony
Daily Mail complains about pervert looking up skirts. Posts a pic looking up woman's skirt #irony http://t.co/1xSfYwpRNt,irony
@HarryBallzak1 @CTadvocate Zack burned his own bridge to fame. #orangeisthenewZack #burningbridges #irony,irony
When other people cant say your name and when told the nick name they go so your hash as in hash brown #ironic 👮👮,irony
"These lyrics appeared in my headphones while on the delayed Metro: ""I wanna go somewhere, I wanna go somewhere so bad"" @LowBatteryDC #irony",irony
"#markets  The bigger the layoff, the greater the gain. A good time to buy energy sector stocks? Insert Ironic Message Here. #ironic #decline",irony
@BarclaysUKHelp A complaint created while trying to complain about Barclays Customer Service &amp; their handling of complaints #IRONIC #JustMe?,irony
Well @Cricketbatcat @Cantbowlthrow if the ECB had played #WomensAshes up North today we wouldn't be behind in series #RainedAllDay #Ironic,irony
Is it really true that when @DavidMundellDCT proudly went to open a food bank (something to be proud of???) they laid on a buffet?! #ironic,irony
"I find it funny how you preach one person this and commitment that, yet you have one of the worse track records #ironic",irony
Hi Sean it is No Frills at 3730 Lakeshore in Etob - they won't even match @ShopprsDrugMart prices which is #ironic @ConsumerSOS @nofrillsCA,irony
"Dogs life 
#dogs #dog #dogstagram #dogsofinstagram #doglover #irony #puppies #puppiesofinstagram… https://t.co/F1JfYiwyf1",irony
"@statesman Hundreds gather for unveiling of Satanic statue in Detroit, while some others want to sledgehammer Confederate monuments. #irony",irony
"I love learning why things are the way they are! #FunFact #HistoryLesson #Irony -Steph 

http://t.co/ApA0y7vsBX http://t.co/Py3gaTrxPE",irony
"@guardian Of course the US knows what it's talking about, being #49 on the World Press Freedom Index https://t.co/9L5R6yNVJq #Irony",irony
Benteke pictured with fan at hotel the day he signed for Liverpool. That T-shirt though. #IRONY http://t.co/k5rRhRd4c2,irony
"@WillHillAus This statement does not make sense. You support problem gambling, yet limit winners. #irony",irony
One of the most inspiring Indian President @APJAbdulKalam passes away. He went to @IIMShillong to take a session on Liveable Planet. #Irony,irony
#noonegetsleftbehind except when they're left in the charity shop #romanroad #irony yeah? https://t.co/514p2zVpsp,irony
Sony Pictures buys rights to Emoji movie: Weird business news http://t.co/XDfU95xscr via @YahooFinance  #ironic #impulsive #dumbbiz #adam,irony
Here is @DC2forlife - the first Deaf NFL player. A video intro - http://t.co/NWArFHW0TI - Sadly @NFL didn't caption it. #irony #WHChamps,irony
Thought Y don't India Ban Muslims when saw #GurdasPurAttack news. But when you hear about APJ Abdul Kalam who was the greatest man. #Irony,irony
"Thought since I'll be going to BR I would go to a Saints game, but apparently they'll be playing in Houston that weekend 😑😩 #ironic",irony
When you remember you book but forget your reading glasses so you can't read the chapter on visual impairment #irony,irony
We Have Central Air Contitioning In Our House But Everybody Covers The Vents In Their Rooms Because They Are Cold... #LMAO #Ironic,irony
You know what BBC Reporting Scotland? U are stoking the 2nd Indy ref story. Your piece on FM visit to China totally submerged by it! #irony,irony
"Who dies in terrorist attacks?Police, common men. Who signs petitions for terrorists?Our so called half-wit celebs! #Irony #GurdaspurAttack",irony
"#Irony Trilogy. Book 1-The Animal now #FREE. I repeat, the Irony Book 1 jackpot is now #Free http://t.co/9NOuJdk76O http://t.co/NzRF0pUjoT",irony
"Protestors from middle America here to protest train based mass transits, riding the train to the protest. #dc #irony",irony
"@CecileRichards, #abortion mogul, on @ABC: Extremists! Killers! Militants! Oh, but she wasn't talking about @PPFA. #Irony",irony
"#Irony 
I can use my #iCloud email address to sign into all @google services but can't use it to sign into any @iCloud services. #AppleFail",irony
"Their first non Starbucks coffee in weeks, and in the birthplace of it no less! #irony #rainonyourweddingday #10000spoons",irony
"I told my supervisor I didn't want to work any more five day weeks this summer, last week he had me work six! #Irony",irony
I wear a suit and tie to work everyday. I should really be wearing a construction hat with a tool belt #Ironic,irony
"Or maybe @Kanywest is threatening to leave US b/c racism is becoming more exposed, which risks the exposure of his racism. #irony",irony
A guy named 'Danger' spending his rush hours in the sky and talking at the same time? #Irony . https://t.co/W4d94Y5Rz1,irony
"Two little yellow books on creativity, that contradict each other perfectly! #irony http://t.co/hkA2oMKssh",irony
"RIP. You will be remembered everytime we dream. 
talk on Livable planet earth? #irony #RIP #APJ  https://t.co/BKYeeTRgJO",irony
"“Many stupid people at (sic) New York,” said the hacker who took down @NYMag. #irony   https://t.co/1U6VY3KPPU",irony
@thetawlguy reviews tend to take into consideration the most important thing: the biases of the reviewer #irony #urbancourtesan,irony
This Q&amp;A is awesome. Too bad that it doesn't match my requirements. Even with SO I need to think. http://t.co/gf5bVcISqt #SQL #think #irony,irony
"Oh, the #irony if that ""#1 Colts Fan"" has twitter &amp; follows @PatMcAfeeShow &amp; realized it was him who cut you off! https://t.co/VyV8R9eqdU",irony
"And our country will declare a holiday to mourn death of someone who departed while working for country...!!

#irony",irony
@holden checking out your journal and followed through to this link   http://t.co/VHZmgdTgax where 2 of 3 comments are spam #irony @KateMfD,irony
With no sense of #irony the UK Home Office has issued emails warning of spam emails from the Home Office &amp; #MoJ http://t.co/SLupSlvaT7,irony
#Irony  When I catch myself explaining that anger/frustration shortcircuits the logical mind to an obviously upset &amp; illogical person.,irony
In the past hour and a half I've discovered 6 grad school I wanna apply to and learned ~nothing for my final exam Thursday #irony,irony
So @LewisHamilton was called a #choker by #EddieJordan...a man who hasn't completed a sentence without fucking up for about 3-years?! #irony,irony
"Those who say ""poor should always remain poor"" are trying to stop govt from evicting illegal occupants. #Irony",irony
@SenSanders We live in a country screaming pro life that doesn't give its citizens access to healthcare. #irony,irony
"@Cumbercutefairy @ScentedFleur I guess feeling disgusted just doesn't help. We'll still be having a holiday tomorrow, right?#irony",irony
When your best friend puts a gay flag in the closet #irony #pride #lgbt #Jokes https://t.co/fwlaXHoZaw,irony
"We exiled people who used the N word, and here we are, Donald Trump running to be POTUS while calling Mexicans, thugs and rapists.
#ironic",irony
"Public Enemy just told me their new album ""is not a part of the system""...by advertising to me on spotify. #irony",irony
"MTV's ""One Bad Choice"" won't delete from DVR...maybe DVRing ""OBC"" was MY one bad choice??? #irony http://t.co/G1X3QDr1Pu",irony
It's crazy we was riding in the all white ford bronco and all the white girls loved the car #ironic lol,irony
#irony is when @yourviewtvc presenter acuses someone of being partisan even when it's clear they're staunch apc.,irony
Webinar I had trouble logging onto now discussing how important it is to make it easy to log onto your webinar/video conference. #irony,irony
Last thing on my list of priorities is a cita a ciegas #Ironic seems to be the soundtrack for this moment,irony
Seems like the people who judge the most are the ones with the most fucked up life and make the worst decisions. #irony,irony
"Amazing how many Bostonians are anti-Olympics b/c they fear cost overruns, yet they perennially vote for Democrats to run the state. #irony",irony
@Tennessean funny how the @MetroSchools Board Members argue and fight on Facebook yet they don't want children to bully each other #irony,irony
"To clarify, many of those using #ImHardLeft are pointing out how moderate their views actually are, not that they're communists #irony",irony
@jwmarianna @MAKtheknife13 Catholics are the only Christians who have consistently opposed abortion. #Irony,irony
"Mournho's first season @ChelseaFC 04/05, he bought Cech, Drogba, Robben, Carvalho, Tiago and more. They went on to win the title 😕 #irony",irony
"Man who dedicated his life to learning and students, and to mourn his death the government declares  holiday to school #irony",irony
They're totally terrified of him. So sad they can't trust the members re voting for a leader #Irony  https://t.co/2b0xElnhrE,irony
"u just can't force ppl to talk to u.. if they want to, they will  But ""when they want"" -.-
#irony #friendship #LifeIsStrange #life",irony
I just bought a flight ticket from Edinburgh to Prague for the price of a return train ticket from Glasgow to Dundee. #irony,irony
I always find the song #ironic by @Alanis Morrissette interesting with these list... Or do I?  http://t.co/7u4gyD1M2y,irony
"Get this: July 27, 3pm in Missoula, 47 degrees! Normally warmest week of the year #ironic #brrr Not to worry, 90s by end of the week. #MTwx",irony
Note to self: bragging about how self-aware you are about your shortcomings is still bragging. #irony,irony
Wouldn't wish this on anyone (and I'm not doing so) but imagine in Brady gets injured early doors like Snoddy. #irony #ncfc,irony
@Mattbowes80 @Alan86Thomas @tj_cummings they'll fly around the world to watch floyd on a pub screen but won't pay for sky #irony,irony
"if people want it and are willing to pay for it, ""can we actually build it?"" becomes a question of little importance #technicalities #irony",irony
Universal Pictures finds pirated copy of Jurassic World seeded from its own servers #ironic #dmca http://t.co/ukZcs6xZqI,irony
X and I decided to get back together. After not hearing from lawyers for 2 months we got told today the divorce is final. #irony,irony
"It’s always the people who have never done it, that are the first ones to tell you how they think it should be done. #Irony",irony
The don't judge challenge is a load of crap and annoying. Stop uploading them. And yes I'm judging the don't judge challenge #irony #badass,irony
You wanna know what makes less and less people want to go into medical trade? #OBAMACARE. #irony #tcot #tlot #ccot  https://t.co/K4yNJsAAs9,irony
@Jessiccaaa_Bee @AwkwardComedy we are all over these quotes today x x #ironic #maybenot #keepemguessing #hehe x x x,irony
Max Verstappen to sit driving test after finishing fourth in Hungary F1 GP http://t.co/NwlXexkgWm #irony,irony
